MaTK,TenDangNhap,MatKhau,HoTen,Email,SoDienThoai,LoaiTaiKhoan,NgayTao
1,admin,123456,Quản Trị Viên,admin@weblaptop.com,0909123456,1,2025-12-01 13:52:32.437
2,user1,123456,Nguyễn Văn A,a@gmail.com,0909123001,2,2025-12-01 13:52:32.437
3,user2,123456,Trần Thị B,b@gmail.com,0909123002,2,2025-12-01 13:52:32.437
4,user3,123456,Lê Văn C,c@gmail.com,0909123003,2,2025-12-01 13:52:32.437
5,user4,123456,Phạm Thị D,d@gmail.com,0909123004,2,2025-12-01 13:52:32.437
6,user5,123456,Hoàng Văn E,e@gmail.com,0909123005,2,2025-12-01 13:52:32.437
7,user6,123456,Đỗ Thị F,f@gmail.com,0909123006,2,2025-12-01 13:52:32.437
8,user7,123456,Bùi Văn G,g@gmail.com,0909123007,2,2025-12-01 13:52:32.437
9,user8,123456,Lý Thị H,h@gmail.com,0909123008,2,2025-12-01 13:52:32.437
10,"  user_dirty  ",123456,Nguyễn Văn @#$,dirty@gmail.com,0901113333,2,2025-12-01 13:52:32.437
11,user_bad_email,123456,Trần Không Email,email_khong_hop_le_com,0901114444,2,2025-12-01 13:52:32.437
12,user_fail_role,123456,User Sai Role,role@gmail.com,0900000000,3,2025-12-01 13:52:32.437
13,user_null_name,123456,User Sai Role2,nullname@gmail.com,0900111222,2,2025-12-01 13:52:32.437
